"GSS.Code","Sex","Age","Year","Births"
"E06000007","F",22,2013,86.672
"E06000007","F",23,2013,91.401
"E06000007","F",24,2013,116.423
"E06000007","F",25,2013,129.638
"E06000007","F",26,2013,123.651
"E06000007","F",27,2013,141.087
"E06000007","F",28,2013,145.452
"E06000007","F",29,2013,157.288
"E06000007","F",30,2013,155.788
"E06000007","F",31,2013,163.414
"E06000007","F",32,2013,163.205
"E06000007","F",33,2013,149.001
"E06000007","F",34,2013,129.06
"E06000007","F",35,2013,106.722
"E06000007","F",36,2013,87.556
"E06000007","F",37,2013,71.527
"E06000007","F",38,2013,58.657
"E06000007","F",39,2013,47.52
"E06000007","F",40,2013,36.617
"E06000007","F",41,2013,24.018
"E06000007","F",42,2013,13.502
"E06000007","F",43,2013,6.24
"E06000007","F",44,2013,4.547
"E06000008","F",15,2013,1.703
"E06000008","F",16,2013,8.277
"E06000008","F",17,2013,26.298
"E06000008","F",18,2013,36.49
"E06000008","F",19,2013,56.678
"E06000008","F",20,2013,72.154
"E06000008","F",21,2013,89.005
"E06000008","F",22,2013,101.46
"E06000008","F",23,2013,110.99
"E06000008","F",24,2013,139.342
"E06000008","F",25,2013,160.207
"E06000008","F",26,2013,164.784
"E06000008","F",27,2013,164.619
"E06000008","F",28,2013,147.406
"E06000008","F",29,2013,149.753
"E06000008","F",30,2013,145.246
"E06000008","F",31,2013,138.133
"E06000008","F",32,2013,117.779
"E06000008","F",33,2013,95.373
"E06000008","F",34,2013,76.288
"E06000008","F",35,2013,67.256
"E06000008","F",36,2013,57.773
"E06000008","F",37,2013,49.711
"E06000008","F",38,2013,34.843
"E06000008","F",39,2013,32.59
"E06000008","F",40,2013,26.027
"E06000008","F",41,2013,13.463
"E06000008","F",42,2013,11.476
"E06000008","F",43,2013,2.724
"E06000008","F",44,2013,3.124
"E06000009","F",15,2013,3.527
"E06000009","F",16,2013,12.831
"E06000009","F",17,2013,28.768
"E06000009","F",18,2013,48.031
"E06000009","F",19,2013,61.489
"E06000009","F",20,2013,80.033
"E06000009","F",21,2013,99.25
"E06000009","F",22,2013,83.623
"E06000009","F",23,2013,96.058
"E06000009","F",24,2013,103.261
"E06000009","F",25,2013,109.47
"E06000009","F",26,2013,115.515
"E06000009","F",27,2013,106.575
"E06000009","F",28,2013,96.126
"E06000009","F",29,2013,90.1
"E06000009","F",30,2013,92.102
"E06000009","F",31,2013,80.923
"E06000009","F",32,2013,69.818
"E06000009","F",33,2013,61.043
"E06000009","F",34,2013,56.034
"E06000009","F",35,2013,42.06
"E06000009","F",36,2013,37.536
"E06000009","F",37,2013,29.12
"E06000009","F",38,2013,26.937
"E06000009","F",39,2013,21.87
"E06000009","F",40,2013,17.014
"E06000009","F",41,2013,9.906
"E06000009","F",42,2013,7.411
"E06000009","F",43,2013,2.67
"E06000009","F",44,2013,2.659
"E06000010","F",15,2013,7.114
"E06000010","F",16,2013,22.49
"E06000010","F",17,2013,52.259
"E06000010","F",18,2013,86.18
"E06000010","F",19,2013,120.532
"E06000010","F",20,2013,150.174
"E06000010","F",21,2013,180.453
"E06000010","F",22,2013,223.455
"E06000010","F",23,2013,229.32
"E06000010","F",24,2013,235.496
"E06000010","F",25,2013,258.459
"E06000010","F",26,2013,237.553
"E06000010","F",27,2013,243.261
"E06000010","F",28,2013,220.633
"E06000010","F",29,2013,202.611
"E06000010","F",30,2013,189.969
"E06000010","F",31,2013,187.028
"E06000010","F",32,2013,171.195
"E06000010","F",33,2013,129.748
"E06000010","F",34,2013,113.629
"E06000010","F",35,2013,87.797
"E06000010","F",36,2013,74.363
"E06000010","F",37,2013,56.918
"E06000010","F",38,2013,44.737
"E06000010","F",39,2013,36.772
"E06000010","F",40,2013,28.728
"E06000010","F",41,2013,18.324
"E06000010","F",42,2013,10.422
"E06000010","F",43,2013,6.953
"E06000010","F",44,2013,2.902
"E06000011","F",15,2013,4.96
"E06000011","F",16,2013,10.723
"E06000011","F",17,2013,30.622
"E06000011","F",18,2013,44.005
"E06000011","F",19,2013,71.194
"E06000011","F",20,2013,95.597
"E06000011","F",21,2013,101.992
"E06000011","F",22,2013,106.996
"E06000011","F",23,2013,125.48
"E06000011","F",24,2013,142.194
"E06000011","F",25,2013,153.023
"E06000011","F",26,2013,168.377
"E06000011","F",27,2013,175.704
"E06000011","F",28,2013,183.258
"E06000011","F",29,2013,170.719
"E06000011","F",30,2013,178.736
"E06000011","F",31,2013,204.328
"E06000011","F",32,2013,179.383
"E06000011","F",33,2013,170.859
"E06000011","F",34,2013,160.51
"E06000011","F",35,2013,126.043
"E06000011","F",36,2013,110.491
"E06000011","F",37,2013,86.307
"E06000011","F",38,2013,78.409
"E06000011","F",39,2013,62.331
"E06000011","F",40,2013,45.563
"E06000011","F",41,2013,27.867
"E06000011","F",42,2013,17.884
"E06000011","F",43,2013,10.392
"E06000011","F",44,2013,3.981
"E06000012","F",15,2013,3.751
"E06000012","F",16,2013,11.64
"E06000012","F",17,2013,27.596
"E06000012","F",18,2013,52.302
"E06000012","F",19,2013,70.554
"E06000012","F",20,2013,92.235
"E06000012","F",21,2013,103.213
"E06000012","F",22,2013,115.872
"E06000012","F",23,2013,120.102
"E06000012","F",24,2013,129.986
"E06000012","F",25,2013,128.335
"E06000012","F",26,2013,130.559
"E06000012","F",27,2013,123.348
"E06000012","F",28,2013,126.326
"E06000012","F",29,2013,115.078
"E06000012","F",30,2013,102.771
"E06000012","F",31,2013,96.158
"E06000012","F",32,2013,83.642
"E06000012","F",33,2013,70.601
"E06000012","F",34,2013,61.248
"E06000012","F",35,2013,46.66
"E06000012","F",36,2013,37.201
"E06000012","F",37,2013,33.462
"E06000012","F",38,2013,24.801
"E06000012","F",39,2013,15.524
"E06000012","F",40,2013,16.46
"E06000012","F",41,2013,8.822
"E06000012","F",42,2013,5.96
"E06000012","F",43,2013,3.149
"E06000012","F",44,2013,1.862
"E06000013","F",15,2013,3.638
"E06000013","F",16,2013,9.301
"E06000013","F",17,2013,24.736
"E06000013","F",18,2013,43.391
"E06000013","F",19,2013,58.47
"E06000013","F",20,2013,67.545
"E06000013","F",21,2013,81.336
"E06000013","F",22,2013,96.459
"E06000013","F",23,2013,97.271
"E06000013","F",24,2013,101.002
"E06000013","F",25,2013,120.464
"E06000013","F",26,2013,127.767
"E06000013","F",27,2013,121.19
"E06000013","F",28,2013,122.175
"E06000013","F",29,2013,121.563
"E06000013","F",30,2013,112.196
"E06000013","F",31,2013,102.551
"E06000013","F",32,2013,90.896
"E06000013","F",33,2013,88.047
"E06000013","F",34,2013,65.028
"E06000013","F",35,2013,51.023
"E06000013","F",36,2013,46.53
"E06000013","F",37,2013,34.573
"E06000013","F",38,2013,34.324
"E06000013","F",39,2013,23.727
"E06000013","F",40,2013,19.293
"E06000013","F",41,2013,11.782
"E06000013","F",42,2013,8.332
"E06000013","F",43,2013,4.732
"E06000013","F",44,2013,2.298
"E06000014","F",15,2013,2.11
"E06000014","F",16,2013,5.461
"E06000014","F",17,2013,14.202
"E06000014","F",18,2013,24.676
"E06000014","F",19,2013,34.12
"E06000014","F",20,2013,55.129
"E06000014","F",21,2013,79.75
"E06000014","F",22,2013,89.906
"E06000014","F",23,2013,87.428
"E06000014","F",24,2013,88.013
"E06000014","F",25,2013,86.416
"E06000014","F",26,2013,97.085
"E06000014","F",27,2013,106.941
"E06000014","F",28,2013,130.567
"E06000014","F",29,2013,124.879
"E06000014","F",30,2013,139.564
"E06000014","F",31,2013,148.413
"E06000014","F",32,2013,145.726
"E06000014","F",33,2013,141.289
"E06000014","F",34,2013,121.34
"E06000014","F",35,2013,99.411
"E06000014","F",36,2013,83.116
"E06000014","F",37,2013,68.693
"E06000014","F",38,2013,52.548
